Sl. No,Satellite Name,Launch Date,Launch Vehicle,Status,Mission Type,Orbit Type,NORAD ID,Operating Country,Operating Organization,Remarks
120,INDIA-BHUTAN SAT,26-11-2022,PSLV-C54,Operational,Earth Observation,Low Earth Orbit (LEO),54365,India / Bhutan,"ISRO / Department of Information Technology and Telecom (DITT), Bhutan",N/A
121,EOS-07 (Microsat-2B),10-02-2023,SSLV-D2,Operational,Earth Observation,Low Earth Orbit (LEO),55562,India,Indian Space Research Organisation (ISRO),N/A
122,NVS-01,29-05-2023,GSLV-F12,Operational,Navigation,Geosynchronous Orbit (GSO),56759,India,Indian Space Research Organisation (ISRO),Operational for PNT service
123,Chandrayaan-3,14-07-2023,LVM3 M4,Not Operational,Space Science (Lunar Exploration),Lunar Orbit / Surface (Landed),57320,India,Indian Space Research Organisation (ISRO),N/A
124,Aditya-L1,02-09-2023,PSLV-C57,Operational,Space Science (Solar Observation),Halo Orbit around Sun-Earth L1,57754,India,Indian Space Research Organisation (ISRO),N/A
125,XPoSat,01-01-2024,PSLV-C58,Operational,Space Science (X-ray Astronomy),Low Earth Orbit (LEO),58694,India,Indian Space Research Organisation (ISRO),N/A
126,INSAT-3DS,17-02-2024,GSLV-F14,Operational,Earth Observation (Meteorology),Geostationary Orbit (GEO),58990,India,Indian Space Research Organisation (ISRO),N/A
127,EOS-08 ( Microsat-2C),16-08-2024,SSLV-D3,Operational,Earth Observation,Low Earth Orbit (LEO),60454,India,Indian Space Research Organisation (ISRO),N/A
128,GSAT-N2,19-11-2024,Falcon-9,Operational,Communications,Geostationary Orbit (GEO),62028,India,Indian Space Research Organisation (ISRO),N/A
129,SPADEX-A,30-12-2024,PSLV C60,Operational,Technology Demonstration (Docking Experiment),Low Earth Orbit (LEO),62459,India,Indian Space Research Organisation (ISRO),N/A
130,SPADEX-B,30-12-2024,PSLV C60,Operational,Technology Demonstration (Docking Experiment),Low Earth Orbit (LEO),62460,India,Indian Space Research Organisation (ISRO),N/A
131,NVS-02,29-01-2025,GSLV-F15,Not operational,Navigation,Geosynchronous Orbit (GSO),62850,India,Indian Space Research Organisation (ISRO),N/A
132,RISAT-1B (EOS-09),18-05-2025,PSLV-C61,Not Operational,Earth Observation (Radar Imaging),N/A (launch failure),N/A,India,Indian Space Research Organisation (ISRO),Launch unsuccessful
133,NISAR,30-07-2025,GSLV-F16,Operational,Earth Observation (Radar Imaging),Sun-Synchronous Orbit (SSO),65053,India / USA,ISRO / NASA,N/A
134,CMS-03 (GSAT-7R),02-11-2025,LVM3-M5,Operational,Communications,Geostationary Orbit (GEO),66311,India,Indian Navy (satellite built by ISRO),N/A
135,ANVESHA (EOS-N1),12-01-2026,PSLV-C62,Not Operational,Earth Observation (Hyperspectral Imaging),N/A (launch failure),N/A,India,Indian Space Research Organisation (ISRO),Launch unsuccessful
